"","SRR8366697_1.fastq_quant","SRR8366698_1.fastq_quant","SRR8366699_1.fastq_quant","SRR8366700_1.fastq_quant","SRR8366701_1.fastq_quant","SRR8366704_1.fastq_quant","SRR8366705_1.fastq_quant","SRR8366706_1.fastq_quant","SRR8366707_1.fastq_quant"
"ENSG00000122550.13",363.17,270.721,261.114,241.679,168.722,124.802,105.258,122.362,38.378
"ENSG00000122557.5",166.033,146.888,135.126,172.467,144.695,49.492,54.046,53.938,20.092
"ENSG00000122565.14",4467.862,1910.695,3530.112,2398.509,2881.542,995.555,615.598,1802.885,844.148
"ENSG00000122566.16",54242.851,17377.506,60461.714,47711.74,46946.376,11218.089,7292.675,49423.902,18698.354
"ENSG00000122574.6",141.824,197.722,98.052,118.597,26.477,29.471,16.121,30.619,31.502
"ENSG00000122584.8",45.172,29.726,27.659,60.992,0,19.853,15.627,5.754,5.875
"ENSG00000122585.3",4.076,0,0,2.275,0,0,0,0,0
"ENSG00000122591.7",179.939,92.661,194.219,153.877,173.202,83.788,51.523,237.368,96.087
"ENSG00000122592.6",391.607,10.479,222.763,60.149,62.091,3.214,49.084,0,18.259
"ENSG00000122641.9",9.885,8.591,1.964,0,5.826,3,2.577,27.939,1.273
"ENSG00000122642.6",59.673,109.407,44.599,22.486,17.198,41.087,15.101,84.728,31.347
"ENSG00000122643.14",130.509,70.816,126.328,74.507,74.079,39.741,34.043,47.192,26.578
"ENSG00000122644.8",173.928,34.952,174.686,244.93,664.947,60.297,42.779,443.033,214.498
"ENSG00000122674.8",713.799,292.777,397.515,351.208,520.188,75.696,154.464,147.549,87.217
"ENSG00000122678.10",3.107,1.053,2.284,8.202,7.269,2,3.186,5.221,1.391
"ENSG00000122679.4",0,0,0,0,0,0,0,0,0
"ENSG00000122687.13",365.667,208.107,216.395,259.618,192.103,55.864,47.573,117.68,83.638
"ENSG00000122691.8",16.314,3.243,0,10.461,5.018,1,0,6.778,1.034
"ENSG00000122694.11",55.254,16.565,40.132,37.71,14.08,23.616,30.921,31.129,0
"ENSG00000122705.12",25.455,10.377,23.4,16.465,5.733,5.724,0,2.119,1.448
"ENSG00000122707.7",67.129,48.385,86.532,66.076,70.299,15.784,24.136,86.749,6.196
"ENSG00000122718.4",0,0,1,1,0,0,0,0,0
"ENSG00000122728.6",12.347,9.14,20.541,8.118,6.074,2.023,1.011,3.038,3.319
"ENSG00000122733.11",240,166,124,183,43,36,35,2,28
"ENSG00000122735.11",54.923,41.318,45.191,56.811,103.816,16.872,6.797,3.591,6.482
"ENSG00000122741.11",117.237,61.525,79.042,86.693,65.89,33.98,30.035,28.018,13.919
"ENSG00000122779.12",143.551,95.751,90.526,109.619,105.742,27.719,32.852,36.901,3.01
"ENSG00000122783.12",239.726,175.397,275.687,231.057,197.042,48.745,50.469,175.907,51.148
"ENSG00000122786.15",80.736,36.726,144.557,81.178,152.087,20.281,62.901,220.67,30.794
"ENSG00000122787.10",1,1,0,0,1,0,0,0,0
"ENSG00000122852.10",0,1,0,0,0,0,0,0,0
"ENSG00000122861.11",1.143,0,0,0,0,0,0,0,0
"ENSG00000122862.4",2,0,1,0,0,0,0,0,0
"ENSG00000122870.7",21.134,21.416,9.258,14.464,9.991,3,0,0,0
"ENSG00000122872.8",0,0,2,1,0,0,0,0,0
"ENSG00000122873.7",57.657,28.04,55.037,36.921,61.697,30.905,20.193,14.868,13.649
"ENSG00000122877.9",0,0,0,0,0,1,0,0,0
"ENSG00000122882.6",81.652,66.824,59.179,58.915,72.576,22.259,14.437,17.434,27.205
"ENSG00000122884.8",366.601,531.709,215.039,31.264,628.889,14.113,39.717,587.17,55.243
"ENSG00000122912.10",29.104,22.566,35.655,18.101,18.929,4.023,9.722,7.861,5
"ENSG00000122952.12",112.691,20.776,112.904,69.621,179.677,43.146,0,274.599,178.953
"ENSG00000122958.10",768.39,321.5,1026.109,934.58,834.85,187.306,86.687,1028.158,396.331
"ENSG00000122965.6",316.261,120.906,333.366,190.241,178.829,108.848,51.904,96.142,54.111
"ENSG00000122966.9",180.458,49.198,182.811,135.626,137.211,48.019,18.498,78.414,30.759
"ENSG00000122970.11",529.948,392.41,230.286,356.077,562.228,69.117,67.032,68.301,95.703
"ENSG00000122971.4",3.011,4.91,0,0,0,3,1,1,0
"ENSG00000122986.9",7.026,11.02,5.017,3.016,2.094,3.021,1.002,4.201,3
"ENSG00000123009.3",0,0,0,0,0,0,0,0,0
"ENSG00000123064.8",317.569,16.322,278.53,253.961,255.961,50.882,34.366,152.808,103.979
"ENSG00000123066.3",191.242,202.029,109.886,166.162,110.801,31.448,45.858,35.898,11.596
"ENSG00000123091.4",595.995,572.737,287.041,646.891,418.38,124.442,62.886,114.841,31.399
"ENSG00000123094.11",0,0,0,0,0,0,0,0,0
